party,region,voting_system,value
Green,QC,STV,0.0
Liberal,QC,STV,0.3974358974358974
NDP,QC,STV,0.2564102564102564
Bloc,SK,STV,0.0
Conservative,SK,STV,0.5714285714285714
Green,SK,STV,0.0
Liberal,SK,STV,0.21428571428571427
NDP,SK,STV,0.21428571428571427
Bloc,YT,STV,0.0
Conservative,YT,STV,0.0
Green,YT,STV,0.0
Liberal,YT,STV,1.0
NDP,YT,STV,0.0
Bloc,Canada,STV,0.04437869822485207
Conservative,Canada,STV,0.32840236686390534
Green,Canada,STV,0.005917159763313609
Liberal,Canada,STV,0.4349112426035503
NDP,Canada,STV,0.1863905325443787
